id,doc_id,seq,action,date,number_type,number,raw
1,2,1,제정,2003-10-16,규정,1165,제정 2003.10.16. 규정 제1165호
2,2,2,개정,2004-12-28,규정,1223,개정 2004.12.28. 규정 제1223호
3,2,3,개정,2006-05-03,규정,1302,개정 2006. 5. 3. 규정 제1302호
4,2,4,개정,2008-02-29,규정,1449,개정 2008. 2.29. 규정 제1449호
5,2,5,개정,2009-08-31,규정,1558,개정 2009. 8.31. 규정 제1558호
6,2,6,개정,2011-01-28,규정,1681,개정 2011. 1.28. 규정 제1681호
7,2,7,개정,2011-09-19,규정,1,개정 2011. 9.19. 규정 제0001호
8,2,8,개정,2012-02-15,규정,2,개정 2012. 2.15. 규정 제0002호
9,2,9,개정,2012-04-26,규정,4,개정 2012. 4.26. 규정 제0004호
10,2,10,전문개정,2013-03-27,규정,7,전문개정 2013. 3.27. 규정 제0007호
11,2,11,개정,2013-12-20,규정,10,개정 2013.12.20. 규정 제0010호
12,2,12,개정,2015-12-23,규정,15,개정 2015.12.23. 규정 제0015호
13,2,13,개정,2017-02-29,규정,17,개정 2017.02.29. 규정 제0017호
14,2,14,개정,2017-10-01,규정,19,개정 2017.10.01. 규정 제0019호
15,2,15,개정,2018-02-12,규정,21,개정 2018.02.12. 규정 제0021호
16,2,16,개정,2019-03-04,규정,25,개정 2019.03.04. 규정 제0025호
17,2,17,개정,2020-02-21,규정,30,개정 2020. 2. 21. 규정 제0030호
18,2,18,개정,2021-01-01,규정,37,개정 2021. 1. 1. 규정 제0037호
19,2,19,개정,2022-01-01,규정,44,개정 2022. 1. 1. 규정 제0044호
20,2,20,개정,2023-08-22,규정,50,개정 2023. 8. 22. 규정 제0050호
21,2,21,개정,2023-10-01,규정,54,개정 2023. 10. 1. 규정 제0054호
22,2,22,개정,2025-01-01,규정,61,개정 2025. 1. 1. 규정 제0061호
23,2,23,개정,2025-12-10,규정,73,개정 2025. 12. 10. 규정 제0073호
24,3,1,제정,2019-10-13,규정,2322,제정 2019.10.13. 규정 제2322호
25,3,2,개정,2022-04-29,규정,2511,개정 2022. 4.29. 규정 제2511호
