doc_id,filename,title,kind,number_type,number,number_source,enacted_date,enacted_number_type,enacted_number,first_history_action,first_history_date,last_amended_date,last_amended_action,n_amendments,n_articles,n_chapters,n_appendices,n_attachments,n_chars,n_pua,hwp_format,extractor,extraction_note,status,error,hwp_created_utc,hwp_modified_utc,file_bytes,md5,is_duplicate,duplicate_of,text_path
1,(재)경북대학교 발전기금 정관(20230425).hwp,재단법인『경북대학교 발전기금』정관,정관,,,,,,,,,,,0,37,6,34,4,10213,0,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2002-11-08 03:07:08,2024-11-05 08:14:38,62464,8eb784f149942fe926f67fa87cab88fa,0,,text/(재)경북대학교 발전기금 정관(20230425).txt
2,00_경북대학교 산학협력단 정관_최종.hwp,경북대학교 산학협력단 정관,정관,규정,73,header,2003-10-16,규정,1165,제정,2003-10-16,2025-12-10,개정,23,48,8,23,0,12006,0,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2012-01-06 06:40:13,2025-12-08 06:19:33,100864,51ac2746d2109cd5ee67cda8cddab3ab,0,,text/00_경북대학교 산학협력단 정관_최종.txt
3,1. 경북대학교 강사 임용 및 운영에 관한 규정(규정 제2628호).hwp,경북대학교 강사 임용 및 운영에 관한 규정,규정,규정,2628,header,2019-10-13,규정,2322,제정,2019-10-13,2023-10-27,개정,4,19,0,4,0,3954,2,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2020-02-03 00:06:15,2023-10-27 01:51:16,83456,1e27655b25cf3a69ca1c86e394c41f41,0,,text/1. 경북대학교 강사 임용 및 운영에 관한 규정(규정 제2628호).txt
4,1. 경북대학교 강사 임용 및 운영에 관한 지침(예규 제1004호).hwp,경북대학교 강사 임용 및 운영에 관한 지침,지침,예규,1004,header,2019-10-16,예규,755,제정,2019-10-16,2024-05-14,개정,5,35,7,5,2,21734,83,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2019-04-18 08:40:47,2024-05-14 02:37:50,120832,5113b3e30f7c2b7b4992f2e19f397b21,0,,text/1. 경북대학교 강사 임용 및 운영에 관한 지침(예규 제1004호).txt
5,1. 경북대학교 개인정보 보호를 위한 기본 지침(예규 제1104호).hwp,경북대학교 개인정보 보호를 위한 기본 지침,지침,예규,1104,header,2002-10-22,예규,279,제정,2002-10-22,2025-10-10,개정,4,20,3,3,3,14088,0,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2007-01-26 01:47:51,2025-10-09 03:36:01,88576,22fb88e7e2c2fae8749a7317d1b07cfd,0,,text/1. 경북대학교 개인정보 보호를 위한 기본 지침(예규 제1104호).txt
6,1. 경북대학교 교원자격무시험검정 절차에 관한 지침(예규 제859호).hwp,경북대학교 교원자격무시험검정 절차에 관한 지침,지침,예규,859,header,2005-03-31,예규,319,제정,2005-03-31,2021-07-22,개정,4,5,0,4,4,3170,1,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2008-01-10 11:21:08,2021-07-22 08:51:24,20992,2ac68d97f12b163b16ba359a617f70ba,0,,text/1. 경북대학교 교원자격무시험검정 절차에 관한 지침(예규 제859호).txt
7,1. 경북대학교 교육공무원 공무국외출장 심사위원회 규정(규정 제2329호).hwp,경북대학교 교육공무원 공무국외출장 심사위원회 규정,규정,규정,2329,header,1988-11-10,규정,541,제정,1988-11-10,2019-12-27,개정,9,6,0,9,0,1530,0,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2019-12-30 01:46:32,2022-07-08 01:46:25,58368,01e83e86bec349017944ee7a4a261db9,0,,text/1. 경북대학교 교육공무원 공무국외출장 심사위원회 규정(규정 제2329호).txt
8,1. 경북대학교 교육연수원 규정(규정 제2427호).hwp,경북대학교 교육연수원 규정,규정,규정,2427,header,2003-06-13,규정,1131,제정,2003-06-13,2021-04-23,개정,7,14,5,7,0,3808,0,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2000-09-27 04:54:31,2021-04-22 02:45:08,20992,6f68bc308047bad2d5d1cc9778bda1be,0,,text/1. 경북대학교 교육연수원 규정(규정 제2427호).txt
9,1. 경북대학교 기업협업센터 운영지침(예규 제846호).hwp,경북대학교 기업협업센터 운영지침,운영지침,예규,846,header,2021-05-17,예규,846,제정,2021-05-17,2021-05-17,제정,1,9,5,1,0,1570,0,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2020-12-24 03:19:41,2021-05-17 05:58:10,15872,164c7b21fbf7e75c6ca44d0b2278601a,0,,text/1. 경북대학교 기업협업센터 운영지침(예규 제846호).txt
10,1. 경북대학교 대학교원 임용 양성평등 추진위원회 운영지침 (예규 제962호).hwp,경북대학교 대학교원 임용 양성평등 추진위원회 운영지침,운영지침,예규,962,header,2007-01-25,예규,350,제정,2007-01-25,2023-08-04,개정,5,7,0,5,0,1393,0,hwp5,olefile+zlib (BodyText PARA_TEXT),,ok,,2016-07-11 11:42:34,2023-08-04 06:46:10,61952,b874a85be928b7cc23644276038f412f,0,,text/1. 경북대학교 대학교원 임용 양성평등 추진위원회 운영지침 (예규 제962호).txt
